Ticker,EventDate,CloseAtEvent,Close_Day5,Close_Day10,Close_Day15,Close_Day20,R5(%),R10(%),R15(%),R20(%)
T,2020-09-28,15.11,15.26,15.34,14.66,14.93,1.02,1.55,-2.97,-1.16
T,2020-10-22,15.43,14.6,15.01,15.51,15.43,-5.37,-2.72,0.57,0.0
T,2021-08-27,15.87,16.12,16.1,15.92,16.03,1.58,1.44,0.29,1.0
T,2021-12-02,13.83,13.77,14.23,14.92,14.76,-0.48,2.86,7.9,6.72
T,2021-12-16,14.23,14.92,14.76,16.2,16.75,4.89,3.75,13.88,17.74
T,2022-06-17,16.04,17.2,17.52,17.28,17.45,7.22,9.24,7.71,8.76
T,2022-07-25,15.54,15.71,15.1,15.42,15.21,1.08,-2.86,-0.76,-2.16
T,2022-07-27,15.42,15.41,15.11,15.45,15.11,-0.11,-2.07,0.16,-2.07
T,2022-09-09,14.28,14.04,13.43,12.87,12.75,-1.7,-5.99,-9.92,-10.71
T,2022-10-03,13.34,12.72,13.07,14.95,15.56,-4.62,-2.0,12.08,16.69
T,2022-10-13,12.91,14.29,15.39,15.51,16.08,10.71,19.25,20.17,24.6
T,2023-04-21,16.0,15.52,15.04,14.96,14.32,-3.02,-5.98,-6.53,-10.48
T,2023-05-17,14.63,14.01,13.89,14.11,14.08,-4.26,-5.1,-3.54,-3.78
T,2023-05-22,14.39,13.74,13.76,13.89,13.71,-4.52,-4.33,-3.42,-4.7
T,2023-05-30,13.74,13.76,13.89,13.71,13.86,0.19,1.15,-0.19,0.9
T,2023-06-05,13.52,13.99,13.86,13.91,14.11,3.51,2.53,2.92,4.42
T,2023-07-19,13.04,13.31,12.83,12.76,12.6,2.06,-1.64,-2.19,-3.36
T,2024-04-17,15.17,15.82,15.92,16.1,16.31,4.28,4.96,6.14,7.51
AAPL,2021-03-01,124.85,113.68,121.13,120.55,118.59,-8.94,-2.97,-3.44,-5.01
AAPL,2022-10-03,140.4,138.39,140.36,147.29,151.13,-1.43,-0.03,4.91,7.64
AAPL,2022-12-29,127.95,127.96,133.04,139.31,141.17,0.01,3.97,8.87,10.33
AAPL,2023-08-08,178.02,175.93,175.71,182.54,181.34,-1.17,-1.3,2.54,1.87
AAPL,2023-08-11,176.27,172.99,177.08,187.84,177.82,-1.86,0.46,6.56,0.88
AAPL,2023-08-21,174.33,178.64,188.07,174.79,177.53,2.47,7.88,0.26,1.84
AAPL,2024-01-08,184.21,182.3,193.76,186.67,187.92,-1.04,5.18,1.34,2.02
AAPL,2024-03-11,171.71,172.68,169.82,167.83,168.65,0.56,-1.1,-2.26,-1.78
AAPL,2025-01-22,223.29,238.78,231.91,236.56,245.51,6.94,3.86,5.94,9.95
AAPL,2025-03-14,213.21,217.98,217.61,188.13,197.89,2.24,2.07,-11.76,-7.19
AAPL,2025-04-09,198.59,194.02,208.1,213.04,197.23,-2.3,4.79,7.28,-0.68
